United States Billion-Dollar Disasters By Year (CPI-Adjusted)
Cost values are in billions of dollars
Year,"Drought Count","Drought Cost","Drought Lower 75","Drought Upper 75","Drought Lower 90","Drought Upper 90","Drought Lower 95","Drought Upper 95","Flooding Count","Flooding Cost","Flooding Lower 75","Flooding Upper 75","Flooding Lower 90","Flooding Upper 90","Flooding Lower 95","Flooding Upper 95","Freeze Count","Freeze Cost","Freeze Lower 75","Freeze Upper 75","Freeze Lower 90","Freeze Upper 90","Freeze Lower 95","Freeze Upper 95","Severe Storm Count","Severe Storm Cost","Severe Storm Lower 75","Severe Storm Upper 75","Severe Storm Lower 90","Severe Storm Upper 90","Severe Storm Lower 95","Severe Storm Upper 95","Tropical Cyclone Count","Tropical Cyclone Cost","Tropical Cyclone Lower 75","Tropical Cyclone Upper 75","Tropical Cyclone Lower 90","Tropical Cyclone Upper 90","Tropical Cyclone Lower 95","Tropical Cyclone Upper 95","Wildfire Count","Wildfire Cost","Wildfire Lower 75","Wildfire Upper 75","Wildfire Lower 90","Wildfire Upper 90","Wildfire Lower 95","Wildfire Upper 95","Winter Storm Count","Winter Storm Cost","Winter Storm Lower 75","Winter Storm Upper 75","Winter Storm Lower 90","Winter Storm Upper 90","Winter Storm Lower 95","Winter Storm Upper 95"
2002,1,13.0,13.0,14.4,12.7,14.6,12.6,14.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,2.8,3.1,2.7,3.2,2.7,3.2,1,1.6,1.6,1.9,1.5,2.0,1.5,2.0,1,1.9,1.4,1.7,1.4,1.8,1.4,1.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,1,7.1,6.5,7.3,6.4,7.4,6.3,7.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,11.3,10.2,12.7,9.7,13.2,9.4,13.6,1,7.8,6.6,8.0,6.5,8.5,6.4,8.7,1,5.5,4.7,5.9,4.6,6.1,4.4,6.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.4,1.3,1.5,1.2,1.5,1.2,1.6,4,74.7,67.0,79.8,65.0,82.7,63.9,84.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,1,2.0,2.0,2.3,1.9,2.3,1.9,2.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.2,1.1,1.2,1.0,1.2,1.0,1.3,4,222.9,186.9,243.4,177.5,257.4,171.8,266.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,1,7.8,7.3,8.4,7.1,8.7,7.0,8.8,1,2.0,1.8,2.8,1.7,3.0,1.6,3.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,8.1,7.6,8.5,7.4,8.8,7.0,8.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.9,1.7,1.9,1.6,2.0,1.6,2.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,1,4.5,4.5,4.9,4.4,5.0,4.3,5.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.4,3.8,5.0,3.7,5.2,3.6,5.2,1,3.2,2.8,3.1,2.7,3.2,2.7,3.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.5,3.3,3.8,3.2,3.9,3.1,4.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,1,8.6,8.1,9.2,7.9,9.5,7.7,9.6,1,12.1,9.5,12.0,9.1,12.4,8.8,12.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,11.1,10.3,11.8,10.0,12.1,9.8,12.4,3,45.4,41.7,48.8,40.5,50.4,39.9,51.4,1,1.5,1.4,1.7,1.3,1.7,1.2,1.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,1,4.3,4.2,5.1,4.0,5.3,3.9,5.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,8.6,8.0,8.9,8.0,9.0,7.7,9.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.2,1.1,1.4,1.0,1.4,1.0,1.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.9,3.5,5.1,3.3,5.4,3.2,5.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10.7,10.4,11.9,10.2,12.4,10.0,12.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,1,14.0,12.6,14.4,12.3,14.9,12.2,15.2,2,5.8,5.6,6.7,5.4,7.0,5.2,7.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,36.4,34.0,39.5,32.9,40.7,31.5,42.9,2,18.7,16.4,20.3,15.9,21.3,15.7,21.8,1,2.1,1.7,2.3,1.7,2.4,1.6,2.5,1,2.1,1.7,2.2,1.7,2.2,1.6,2.3
2012,1,33.9,32.7,36.7,32.0,37.6,31.5,38.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,18.4,16.8,18.9,16.7,19.4,16.4,19.6,2,76.6,63.7,83.9,60.2,88.4,58.3,91.0,1,2.0,1.7,2.2,1.7,2.2,1.6,2.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,1,11.7,11.0,12.7,10.7,13.1,10.5,13.4,2,2.9,2.6,3.5,2.5,3.7,2.3,3.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,11.0,10.2,11.5,9.9,11.8,9.8,12.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,1,4.4,4.5,5.8,4.3,6.1,4.1,6.4,1,1.1,1.1,1.3,0.9,1.3,0.9,1.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,11.2,10.5,11.6,10.3,11.7,10.2,11.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.4,2.3,2.7,2.1,2.7,1.9,2.8
2015,1,4.9,4.4,6.3,4.2,6.8,4.0,7.1,2,5.0,4.1,5.2,3.9,5.3,3.7,5.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,8.0,7.6,8.5,7.3,8.9,7.2,9.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.3,3.1,3.5,3.0,3.6,2.9,3.6,1,3.3,3.2,3.4,3.1,3.5,3.0,3.6
2016,1,3.8,2.6,4.1,2.4,4.4,2.2,4.6,4,17.4,13.6,20.4,12.7,21.5,11.9,22.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,15.8,13.9,16.6,13.4,16.7,13.2,17.2,1,10.9,8.1,11.9,7.8,12.2,7.6,12.5,1,2.6,2.3,2.7,2.2,2.7,2.2,2.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,1,2.6,2.0,2.8,1.9,3.0,1.8,3.1,2,3.4,2.6,3.8,2.4,4.0,2.3,4.2,1,1.1,0.8,1.2,0.8,1.3,0.7,1.3,8,17.5,16.3,18.5,15.8,19.0,14.9,19.7,3,275.6,222.6,319.3,200.2,351.0,187.2,364.0,1,18.7,15.4,21.3,14.8,22.9,14.6,23.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,3.0,2.8,3.4,2.7,3.6,2.6,3.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,11.9,10.3,12.5,10.2,13.3,9.7,14.2,2,50.0,40.8,59.2,35.7,64.3,31.1,68.9,1,24.5,20.1,28.8,19.4,29.6,18.4,30.6,2,3.4,2.9,3.7,2.8,4.0,2.6,4.1
2019,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20.0,16.0,23.5,15.3,24.6,14.4,27.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,13.9,12.7,15.5,12.1,16.2,11.5,17.1,2,6.6,4.2,8.4,4.0,9.0,3.6,9.6,1,4.5,3.3,5.3,3.0,6.0,2.5,6.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
